RxPackets;RxTime;RxId;TxId;TxTime;xPos;yPos
338;2867;4;cam data : 3;2863;17;55
339;2867;5;cam data : 3;2863;17;55
340;2867;6;cam data : 3;2863;17;55
341;2867;7;cam data : 3;2863;17;55
342;2867;8;cam data : 3;2863;17;55
343;2877;-1;cam data : 7;2873;42;76
344;2877;0;cam data : 7;2873;42;76
345;2877;1;cam data : 7;2873;42;76
346;2877;2;cam data : 7;2873;42;76
347;2877;3;cam data : 7;2873;42;76
348;2877;4;cam data : 7;2873;42;76
349;2877;5;cam data : 7;2873;42;76
350;2877;6;cam data : 7;2873;42;76
351;2877;8;cam data : 7;2873;42;76
352;2879;-1;cam data : 2;2875;5;26
353;2879;0;cam data : 2;2875;5;26
354;2879;1;cam data : 2;2875;5;26
355;2879;3;cam data : 2;2875;5;26
356;2879;4;cam data : 2;2875;5;26
357;2879;5;cam data : 2;2875;5;26
358;2879;6;cam data : 2;2875;5;26
359;2879;7;cam data : 2;2875;5;26
360;2879;8;cam data : 2;2875;5;26
361;2882;-1;cam data : 5;2878;31;25
362;2882;0;cam data : 5;2878;31;25
363;2882;1;cam data : 5;2878;31;25
364;2882;2;cam data : 5;2878;31;25
365;2882;3;cam data : 5;2878;31;25
366;2882;4;cam data : 5;2878;31;25
367;2882;6;cam data : 5;2878;31;25
368;2882;7;cam data : 5;2878;31;25
369;2882;8;cam data : 5;2878;31;25
370;2897;-1;cam data : 8;2893;86;96
371;2897;0;cam data : 8;2893;86;96
372;2897;1;cam data : 8;2893;86;96
373;2897;2;cam data : 8;2893;86;96
374;2897;3;cam data : 8;2893;86;96
375;2897;4;cam data : 8;2893;86;96
376;2897;5;cam data : 8;2893;86;96
377;2897;6;cam data : 8;2893;86;96
378;2897;7;cam data : 8;2893;86;96
379;2919;-1;cam data : 0;2915;65;54
380;2919;1;cam data : 0;2915;65;54
381;2919;2;cam data : 0;2915;65;54
382;2919;3;cam data : 0;2915;65;54
383;2919;4;cam data : 0;2915;65;54
384;2919;5;cam data : 0;2915;65;54
385;2919;6;cam data : 0;2915;65;54
386;2919;7;cam data : 0;2915;65;54
387;2919;8;cam data : 0;2915;65;54
388;2922;0;cam data : -1;2918;66;72
389;2922;1;cam data : -1;2918;66;72
390;2922;2;cam data : -1;2918;66;72
391;2922;3;cam data : -1;2918;66;72
392;2922;4;cam data : -1;2918;66;72
393;2922;5;cam data : -1;2918;66;72
394;2922;6;cam data : -1;2918;66;72
395;2922;7;cam data : -1;2918;66;72
396;2922;8;cam data : -1;2918;66;72
397;2934;-1;cam data : 4;2930;59;25
398;2934;0;cam data : 4;2930;59;25
399;2934;1;cam data : 4;2930;59;25
400;2934;2;cam data : 4;2930;59;25
401;2934;3;cam data : 4;2930;59;25
402;2934;5;cam data : 4;2930;59;25
403;2934;6;cam data : 4;2930;59;25
404;2934;7;cam data : 4;2930;59;25
