TxPackets;TxTime;TxId;xPos;yPos
4599;7333;-1;66;72
4608;7338;-1;66;72
4617;7373;5;31;25
4626;7379;6;78;15
4635;7383;7;42;76
4644;7406;0;65;54
4653;7407;8;86;96
4662;7410;3;17;55
4671;7415;4;59;25
4680;7426;2;5;26
4689;7427;1;71;52
4698;7438;-1;66;72
4707;7473;5;31;25
4716;7479;6;78;15
4725;7483;7;42;76
4734;7506;0;65;54
4743;7507;8;86;96
4752;7510;3;17;55
4761;7515;4;59;25
4770;7526;2;5;26
4779;7527;1;71;52
4788;7538;-1;66;72
4797;7573;5;31;25
4806;7579;6;78;15
4815;7583;7;42;76
4824;7606;0;65;54
4833;7607;8;86;96
4842;7610;3;17;55
4851;7615;4;59;25
4860;7626;2;5;26
4869;7627;1;71;52
4878;7638;-1;66;72
4887;7673;5;31;25
4896;7679;6;78;15
4905;7683;7;42;76
4914;7706;0;65;54
4923;7707;8;86;96
4932;7710;3;17;55
4941;7715;4;59;25
4950;7726;2;5;26
4959;7727;1;71;52
4968;7738;-1;66;72
4977;7773;5;31;25
4986;7779;6;78;15
4995;7783;7;42;76
5004;7806;0;65;54
5013;7807;8;86;96
5022;7810;3;17;55
5031;7815;4;59;25
5040;7826;2;5;26
5049;7827;1;71;52
5058;7838;-1;66;72
5067;7857;3;17;55
5076;7873;5;31;25
5085;7879;6;78;15
5094;7883;7;42;76
5103;7890;0;65;54
5112;7907;8;86;96
5121;7915;4;59;25
5130;7917;2;5;26
5139;7927;1;71;52
5148;7938;-1;66;72
5157;7957;3;17;55
5166;7963;1;71;52
5175;7973;5;31;25
5184;7979;6;78;15
5193;7983;7;42;76
5202;7990;0;65;54
5211;8007;8;86;96
5220;8015;4;59;25
5229;8017;2;5;26
5238;8038;-1;66;72
5247;8057;3;17;55
5256;8063;1;71;52
5265;8073;5;31;25
5274;8079;6;78;15
5283;8083;7;42;76
5292;8090;0;65;54
5301;8107;8;86;96
5310;8111;5;31;25
5319;8115;4;59;25
5328;8117;2;5;26
5337;8132;8;86;96
5346;8138;-1;66;72
5355;8157;3;17;55
5364;8163;1;71;52
5373;8179;6;78;15
5382;8183;7;42;76
5391;8190;0;65;54
5400;8211;5;31;25
5409;8215;4;59;25
5418;8217;2;5;26
5427;8228;7;42;76
5436;8232;8;86;96
5445;8238;-1;66;72
5454;8257;3;17;55
5463;8263;1;71;52
5472;8279;6;78;15
5481;8290;0;65;54
5490;8311;5;31;25
5499;8315;4;59;25
5508;8317;2;5;26
5517;8328;7;42;76
5526;8332;8;86;96
5535;8338;-1;66;72
5544;8349;0;65;54
5553;8357;3;17;55
5562;8363;1;71;52
5571;8379;6;78;15
5580;8411;5;31;25
5589;8413;1;71;52
